crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,b,lstat,crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,b,lstat,medv
0.00632,18,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,396.9,4.98,3.99424E-05,324,5.3361,0,0.289444,43.230625,4251.04,16.7281,1,87616,234.09,157529.61,24.8004,24
0.02731,0,7.07,0,0.469,6.421,78.9,4.9671,2,242,17.8,396.9,9.14,0.000745836,0,49.9849,0,0.219961,41.229241,6225.21,24.67208241,4,58564,316.84,157529.61,83.5396,21.6
0.02729,0,7.07,0,0.469,7.185,61.1,4.9671,2,242,17.8,392.83,4.03,0.000744744,0,49.9849,0,0.219961,51.624225,3733.21,24.67208241,4,58564,316.84,154315.4089,16.2409,34.7
0.03237,0,2.18,0,0.458,6.998,45.8,6.0622,3,222,18.7,394.63,2.94,0.001047817,0,4.7524,0,0.209764,48.972004,2097.64,36.75026884,9,49284,349.69,155732.8369,8.6436,33.4
0.06905,0,2.18,0,0.458,7.147,54.2,6.0622,3,222,18.7,396.9,5.33,0.004767903,0,4.7524,0,0.209764,51.079609,2937.64,36.75026884,9,49284,349.69,157529.61,28.4089,36.2
0.02985,0,2.18,0,0.458,6.43,58.7,6.0622,3,222,18.7,394.12,5.21,0.000891023,0,4.7524,0,0.209764,41.3449,3445.69,36.75026884,9,49284,349.69,155330.5744,27.1441,28.7
0.08829,12.5,7.87,0,0.524,6.012,66.6,5.5605,5,311,15.2,395.6,12.43,0.007795124,156.25,61.9369,0,0.274576,36.144144,4435.56,30.91916025,25,96721,231.04,156499.36,154.5049,22.9
0.14455,12.5,7.87,0,0.524,6.172,96.1,5.9505,5,311,15.2,396.9,19.15,0.020894703,156.25,61.9369,0,0.274576,38.093584,9235.21,35.40845025,25,96721,231.04,157529.61,366.7225,27.1
0.21124,12.5,7.87,0,0.524,5.631,100,6.0821,5,311,15.2,386.63,29.93,0.044622338,156.25,61.9369,0,0.274576,31.708161,10000,36.99194041,25,96721,231.04,149482.7569,895.8049,16.5
0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5,311,15.2,386.71,17.1,0.028913602,156.25,61.9369,0,0.274576,36.048016,7378.81,43.45578241,25,96721,231.04,149544.6241,292.41,18.9
0.22489,12.5,7.87,0,0.524,6.377,94.3,6.3467,5,311,15.2,392.52,20.45,0.050575512,156.25,61.9369,0,0.274576,40.666129,8892.49,40.28060089,25,96721,231.04,154071.9504,418.2025,15
0.11747,12.5,7.87,0,0.524,6.009,82.9,6.2267,5,311,15.2,396.9,13.27,0.013799201,156.25,61.9369,0,0.274576,36.108081,6872.41,38.77179289,25,96721,231.04,157529.61,176.0929,18.9
0.09378,12.5,7.87,0,0.524,5.889,39,5.4509,5,311,15.2,390.5,15.71,0.008794688,156.25,61.9369,0,0.274576,34.680321,1521,29.71231081,25,96721,231.04,152490.25,246.8041,21.7
0.62976,0,8.14,0,0.538,5.949,61.8,4.7075,4,307,21,396.9,8.26,0.396597658,0,66.2596,0,0.289444,35.390601,3819.24,22.16055625,16,94249,441,157529.61,68.2276,20.4
0.63796,0,8.14,0,0.538,6.096,84.5,4.4619,4,307,21,380.02,10.26,0.406992962,0,66.2596,0,0.289444,37.161216,7140.25,19.90855161,16,94249,441,144415.2004,105.2676,18.2
0.62739,0,8.14,0,0.538,5.834,56.5,4.4986,4,307,21,395.62,8.47,0.393618212,0,66.2596,0,0.289444,34.035556,3192.25,20.23740196,16,94249,441,156515.1844,71.7409,19.9
1.05393,0,8.14,0,0.538,5.935,29.3,4.4986,4,307,21,386.85,6.58,1.110768445,0,66.2596,0,0.289444,35.224225,858.49,20.23740196,16,94249,441,149652.9225,43.2964,23.1
0.7842,0,8.14,0,0.538,5.99,81.7,4.2579,4,307,21,386.75,14.67,0.61496964,0,66.2596,0,0.289444,35.8801,6674.89,18.12971241,16,94249,441,149575.5625,215.2089,17.5
0.80271,0,8.14,0,0.538,5.456,36.6,3.7965,4,307,21,288.99,11.69,0.644343344,0,66.2596,0,0.289444,29.767936,1339.56,14.41341225,16,94249,441,83515.2201,136.6561,20.2
0.7258,0,8.14,0,0.538,5.727,69.5,3.7965,4,307,21,390.95,11.28,0.52678564,0,66.2596,0,0.289444,32.798529,4830.25,14.41341225,16,94249,441,152841.9025,127.2384,18.2
1.25179,0,8.14,0,0.538,5.57,98.1,3.7979,4,307,21,376.57,21.02,1.566978204,0,66.2596,0,0.289444,31.0249,9623.61,14.42404441,16,94249,441,141804.9649,441.8404,13.6
0.85204,0,8.14,0,0.538,5.965,89.2,4.0123,4,307,21,392.53,13.83,0.725972162,0,66.2596,0,0.289444,35.581225,7956.64,16.09855129,16,94249,441,154079.8009,191.2689,19.6
1.23247,0,8.14,0,0.538,6.142,91.7,3.9769,4,307,21,396.9,18.72,1.518982301,0,66.2596,0,0.289444,37.724164,8408.89,15.81573361,16,94249,441,157529.61,350.4384,15.2
0.98843,0,8.14,0,0.538,5.813,100,4.0952,4,307,21,394.54,19.88,0.976993865,0,66.2596,0,0.289444,33.790969,10000,16.77066304,16,94249,441,155661.8116,395.2144,14.5
0.75026,0,8.14,0,0.538,5.924,94.1,4.3996,4,307,21,394.33,16.3,0.562890068,0,66.2596,0,0.289444,35.093776,8854.81,19.35648016,16,94249,441,155496.1489,265.69,15.6
0.84054,0,8.14,0,0.538,5.599,85.7,4.4546,4,307,21,303.42,16.51,0.706507492,0,66.2596,0,0.289444,31.348801,7344.49,19.84346116,16,94249,441,92063.6964,272.5801,13.9
0.67191,0,8.14,0,0.538,5.813,90.3,4.682,4,307,21,376.88,14.81,0.451463048,0,66.2596,0,0.289444,33.790969,8154.09,21.921124,16,94249,441,142038.5344,219.3361,16.6
0.95577,0,8.14,0,0.538,6.047,88.8,4.4534,4,307,21,306.38,17.28,0.913496293,0,66.2596,0,0.289444,36.566209,7885.44,19.83277156,16,94249,441,93868.7044,298.5984,14.8
0.77299,0,8.14,0,0.538,6.495,94.4,4.4547,4,307,21,387.94,12.8,0.59751354,0,66.2596,0,0.289444,42.185025,8911.36,19.84435209,16,94249,441,150497.4436,163.84,18.4
1.00245,0,8.14,0,0.538,6.674,87.3,4.239,4,307,21,380.23,11.98,1.004906003,0,66.2596,0,0.289444,44.542276,7621.29,17.969121,16,94249,441,144574.8529,143.5204,21
1.13081,0,8.14,0,0.538,5.713,94.1,4.233,4,307,21,360.17,22.6,1.278731256,0,66.2596,0,0.289444,32.638369,8854.81,17.918289,16,94249,441,129722.4289,510.76,12.7
1.35472,0,8.14,0,0.538,6.072,100,4.175,4,307,21,376.73,13.04,1.835266278,0,66.2596,0,0.289444,36.869184,10000,17.430625,16,94249,441,141925.4929,170.0416,14.5
1.38799,0,8.14,0,0.538,5.95,82,3.99,4,307,21,232.6,27.71,1.92651624,0,66.2596,0,0.289444,35.4025,6724,15.9201,16,94249,441,54102.76,767.8441,13.2
1.15172,0,8.14,0,0.538,5.701,95,3.7872,4,307,21,358.77,18.35,1.326458958,0,66.2596,0,0.289444,32.501401,9025,14.34288384,16,94249,441,128715.9129,336.7225,13.1
1.61282,0,8.14,0,0.538,6.096,96.9,3.7598,4,307,21,248.31,20.34,2.601188352,0,66.2596,0,0.289444,37.161216,9389.61,14.13609604,16,94249,441,61657.8561,413.7156,13.5
0.06417,0,5.96,0,0.499,5.933,68.2,3.3603,5,279,19.2,396.9,9.68,0.004117789,0,35.5216,0,0.249001,35.200489,4651.24,11.29161609,25,77841,368.64,157529.61,93.7024,18.9
0.09744,0,5.96,0,0.499,5.841,61.4,3.3779,5,279,19.2,377.56,11.41,0.009494554,0,35.5216,0,0.249001,34.117281,3769.96,11.41020841,25,77841,368.64,142551.5536,130.1881,20
0.08014,0,5.96,0,0.499,5.85,41.5,3.9342,5,279,19.2,396.9,8.77,0.00642242,0,35.5216,0,0.249001,34.2225,1722.25,15.47792964,25,77841,368.64,157529.61,76.9129,21
0.17505,0,5.96,0,0.499,5.966,30.2,3.8473,5,279,19.2,393.43,10.13,0.030642503,0,35.5216,0,0.249001,35.593156,912.04,14.80171729,25,77841,368.64,154787.1649,102.6169,24.7
0.02763,75,2.95,0,0.428,6.595,21.8,5.4011,3,252,18.3,395.63,4.32,0.000763417,5625,8.7025,0,0.183184,43.494025,475.24,29.17188121,9,63504,334.89,156523.0969,18.6624,30.8
0.03359,75,2.95,0,0.428,7.024,15.8,5.4011,3,252,18.3,395.62,1.98,0.001128288,5625,8.7025,0,0.183184,49.336576,249.64,29.17188121,9,63504,334.89,156515.1844,3.9204,34.9
0.12744,0,6.91,0,0.448,6.77,2.9,5.7209,3,233,17.9,385.41,4.84,0.016240954,0,47.7481,0,0.200704,45.8329,8.41,32.72869681,9,54289,320.41,148540.8681,23.4256,26.6
0.1415,0,6.91,0,0.448,6.169,6.6,5.7209,3,233,17.9,383.37,5.81,0.02002225,0,47.7481,0,0.200704,38.056561,43.56,32.72869681,9,54289,320.41,146972.5569,33.7561,25.3
0.15936,0,6.91,0,0.448,6.211,6.5,5.7209,3,233,17.9,394.46,7.44,0.02539561,0,47.7481,0,0.200704,38.576521,42.25,32.72869681,9,54289,320.41,155598.6916,55.3536,24.7
0.12269,0,6.91,0,0.448,6.069,40,5.7209,3,233,17.9,389.39,9.55,0.015052836,0,47.7481,0,0.200704,36.832761,1600,32.72869681,9,54289,320.41,151624.5721,91.2025,21.2
0.17142,0,6.91,0,0.448,5.682,33.8,5.1004,3,233,17.9,396.9,10.21,0.029384816,0,47.7481,0,0.200704,32.285124,1142.44,26.01408016,9,54289,320.41,157529.61,104.2441,19.3
0.18836,0,6.91,0,0.448,5.786,33.3,5.1004,3,233,17.9,396.9,14.15,0.03547949,0,47.7481,0,0.200704,33.477796,1108.89,26.01408016,9,54289,320.41,157529.61,200.2225,20
0.22927,0,6.91,0,0.448,6.03,85.5,5.6894,3,233,17.9,392.74,18.8,0.052564733,0,47.7481,0,0.200704,36.3609,7310.25,32.36927236,9,54289,320.41,154244.7076,353.44,16.6
0.25387,0,6.91,0,0.448,5.399,95.3,5.87,3,233,17.9,396.9,30.81,0.064449977,0,47.7481,0,0.200704,29.149201,9082.09,34.4569,9,54289,320.41,157529.61,949.2561,14.4
0.21977,0,6.91,0,0.448,5.602,62,6.0877,3,233,17.9,396.9,16.2,0.048298853,0,47.7481,0,0.200704,31.382404,3844,37.06009129,9,54289,320.41,157529.61,262.44,19.4
0.08873,21,5.64,0,0.439,5.963,45.7,6.8147,4,243,16.8,395.56,13.45,0.007873013,441,31.8096,0,0.192721,35.557369,2088.49,46.44013609,16,59049,282.24,156467.7136,180.9025,19.7
0.04337,21,5.64,0,0.439,6.115,63,6.8147,4,243,16.8,393.97,9.43,0.001880957,441,31.8096,0,0.192721,37.393225,3969,46.44013609,16,59049,282.24,155212.3609,88.9249,20.5
0.0536,21,5.64,0,0.439,6.511,21.1,6.8147,4,243,16.8,396.9,5.28,0.00287296,441,31.8096,0,0.192721,42.393121,445.21,46.44013609,16,59049,282.24,157529.61,27.8784,25
0.04981,21,5.64,0,0.439,5.998,21.4,6.8147,4,243,16.8,396.9,8.43,0.002481036,441,31.8096,0,0.192721,35.976004,457.96,46.44013609,16,59049,282.24,157529.61,71.0649,23.4
0.0136,75,4,0,0.41,5.888,47.6,7.3197,3,469,21.1,396.9,14.8,0.00018496,5625,16,0,0.1681,34.668544,2265.76,53.57800809,9,219961,445.21,157529.61,219.04,18.9
0.01311,90,1.22,0,0.403,7.249,21.9,8.6966,5,226,17.9,395.93,4.81,0.000171872,8100,1.4884,0,0.162409,52.548001,479.61,75.63085156,25,51076,320.41,156760.5649,23.1361,35.4
0.02055,85,0.74,0,0.41,6.383,35.7,9.1876,2,313,17.3,396.9,5.77,0.000422303,7225,0.5476,0,0.1681,40.742689,1274.49,84.41199376,4,97969,299.29,157529.61,33.2929,24.7
0.01432,100,1.32,0,0.411,6.816,40.5,8.3248,5,256,15.1,392.9,3.95,0.000205062,10000,1.7424,0,0.168921,46.457856,1640.25,69.30229504,25,65536,228.01,154370.41,15.6025,31.6
0.15445,25,5.13,0,0.453,6.145,29.2,7.8148,8,284,19.7,390.68,6.86,0.023854803,625,26.3169,0,0.205209,37.761025,852.64,61.07109904,64,80656,388.09,152630.8624,47.0596,23.3
0.10328,25,5.13,0,0.453,5.927,47.2,6.932,8,284,19.7,396.9,9.22,0.010666758,625,26.3169,0,0.205209,35.129329,2227.84,48.052624,64,80656,388.09,157529.61,85.0084,19.6
0.14932,25,5.13,0,0.453,5.741,66.2,7.2254,8,284,19.7,395.11,13.15,0.022296462,625,26.3169,0,0.205209,32.959081,4382.44,52.20640516,64,80656,388.09,156111.9121,172.9225,18.7
0.17171,25,5.13,0,0.453,5.966,93.4,6.8185,8,284,19.7,378.08,14.44,0.029484324,625,26.3169,0,0.205209,35.593156,8723.56,46.49194225,64,80656,388.09,142944.4864,208.5136,16
0.11027,25,5.13,0,0.453,6.456,67.8,7.2255,8,284,19.7,396.9,6.73,0.012159473,625,26.3169,0,0.205209,41.679936,4596.84,52.20785025,64,80656,388.09,157529.61,45.2929,22.2
0.1265,25,5.13,0,0.453,6.762,43.4,7.9809,8,284,19.7,395.58,9.5,0.01600225,625,26.3169,0,0.205209,45.724644,1883.56,63.69476481,64,80656,388.09,156483.5364,90.25,25
0.01951,17.5,1.38,0,0.4161,7.104,59.5,9.2229,3,216,18.6,393.24,8.05,0.00038064,306.25,1.9044,0,0.17313921,50.466816,3540.25,85.06188441,9,46656,345.96,154637.6976,64.8025,33
0.03584,80,3.37,0,0.398,6.29,17.8,6.6115,4,337,16.1,396.9,4.67,0.001284506,6400,11.3569,0,0.158404,39.5641,316.84,43.71193225,16,113569,259.21,157529.61,21.8089,23.5
0.04379,80,3.37,0,0.398,5.787,31.1,6.6115,4,337,16.1,396.9,10.24,0.001917564,6400,11.3569,0,0.158404,33.489369,967.21,43.71193225,16,113569,259.21,157529.61,104.8576,19.4
0.05789,12.5,6.07,0,0.409,5.878,21.4,6.498,4,345,18.9,396.21,8.1,0.003351252,156.25,36.8449,0,0.167281,34.550884,457.96,42.224004,16,119025,357.21,156982.3641,65.61,22
0.13554,12.5,6.07,0,0.409,5.594,36.8,6.498,4,345,18.9,396.9,13.09,0.018371092,156.25,36.8449,0,0.167281,31.292836,1354.24,42.224004,16,119025,357.21,157529.61,171.3481,17.4
0.12816,12.5,6.07,0,0.409,5.885,33,6.498,4,345,18.9,396.9,8.79,0.016424986,156.25,36.8449,0,0.167281,34.633225,1089,42.224004,16,119025,357.21,157529.61,77.2641,20.9
0.08826,0,10.81,0,0.413,6.417,6.6,5.2873,4,305,19.2,383.73,6.72,0.007789828,0,116.8561,0,0.170569,41.177889,43.56,27.95554129,16,93025,368.64,147248.7129,45.1584,24.2
0.15876,0,10.81,0,0.413,5.961,17.5,5.2873,4,305,19.2,376.94,9.88,0.025204738,0,116.8561,0,0.170569,35.533521,306.25,27.95554129,16,93025,368.64,142083.7636,97.6144,21.7
0.09164,0,10.81,0,0.413,6.065,7.8,5.2873,4,305,19.2,390.91,5.52,0.00839789,0,116.8561,0,0.170569,36.784225,60.84,27.95554129,16,93025,368.64,152810.6281,30.4704,22.8
0.19539,0,10.81,0,0.413,6.245,6.2,5.2873,4,305,19.2,377.17,7.54,0.038177252,0,116.8561,0,0.170569,39.000025,38.44,27.95554129,16,93025,368.64,142257.2089,56.8516,23.4
0.07896,0,12.83,0,0.437,6.273,6,4.2515,5,398,18.7,394.92,6.78,0.006234682,0,164.6089,0,0.190969,39.350529,36,18.07525225,25,158404,349.69,155961.8064,45.9684,24.1
0.09512,0,12.83,0,0.437,6.286,45,4.5026,5,398,18.7,383.23,8.94,0.009047814,0,164.6089,0,0.190969,39.513796,2025,20.27340676,25,158404,349.69,146865.2329,79.9236,21.4
0.10153,0,12.83,0,0.437,6.279,74.5,4.0522,5,398,18.7,373.66,11.97,0.010308341,0,164.6089,0,0.190969,39.425841,5550.25,16.42032484,25,158404,349.69,139621.7956,143.2809,20
0.08707,0,12.83,0,0.437,6.14,45.8,4.0905,5,398,18.7,386.96,10.27,0.007581185,0,164.6089,0,0.190969,37.6996,2097.64,16.73219025,25,158404,349.69,149738.0416,105.4729,20.8
0.05646,0,12.83,0,0.437,6.232,53.7,5.0141,5,398,18.7,386.4,12.34,0.003187732,0,164.6089,0,0.190969,38.837824,2883.69,25.14119881,25,158404,349.69,149304.96,152.2756,21.2
0.08387,0,12.83,0,0.437,5.874,36.6,4.5026,5,398,18.7,396.06,9.1,0.007034177,0,164.6089,0,0.190969,34.503876,1339.56,20.27340676,25,158404,349.69,156863.5236,82.81,20.3
0.04113,25,4.86,0,0.426,6.727,33.5,5.4007,4,281,19,396.9,5.29,0.001691677,625,23.6196,0,0.181476,45.252529,1122.25,29.16756049,16,78961,361,157529.61,27.9841,28
0.04462,25,4.86,0,0.426,6.619,70.4,5.4007,4,281,19,395.63,7.22,0.001990944,625,23.6196,0,0.181476,43.811161,4956.16,29.16756049,16,78961,361,156523.0969,52.1284,23.9
0.03659,25,4.86,0,0.426,6.302,32.2,5.4007,4,281,19,396.9,6.72,0.001338828,625,23.6196,0,0.181476,39.715204,1036.84,29.16756049,16,78961,361,157529.61,45.1584,24.8
0.03551,25,4.86,0,0.426,6.167,46.7,5.4007,4,281,19,390.64,7.51,0.00126096,625,23.6196,0,0.181476,38.031889,2180.89,29.16756049,16,78961,361,152599.6096,56.4001,22.9
0.05059,0,4.49,0,0.449,6.389,48,4.7794,3,247,18.5,396.9,9.62,0.002559348,0,20.1601,0,0.201601,40.819321,2304,22.84266436,9,61009,342.25,157529.61,92.5444,23.9
0.05735,0,4.49,0,0.449,6.63,56.1,4.4377,3,247,18.5,392.3,6.53,0.003289023,0,20.1601,0,0.201601,43.9569,3147.21,19.69318129,9,61009,342.25,153899.29,42.6409,26.6
0.05188,0,4.49,0,0.449,6.015,45.1,4.4272,3,247,18.5,395.99,12.86,0.002691534,0,20.1601,0,0.201601,36.180225,2034.01,19.60009984,9,61009,342.25,156808.0801,165.3796,22.5
0.07151,0,4.49,0,0.449,6.121,56.8,3.7476,3,247,18.5,395.15,8.44,0.00511368,0,20.1601,0,0.201601,37.466641,3226.24,14.04450576,9,61009,342.25,156143.5225,71.2336,22.2
0.0566,0,3.41,0,0.489,7.007,86.3,3.4217,2,270,17.8,396.9,5.5,0.00320356,0,11.6281,0,0.239121,49.098049,7447.69,11.70803089,4,72900,316.84,157529.61,30.25,23.6
0.05302,0,3.41,0,0.489,7.079,63.1,3.4145,2,270,17.8,396.06,5.7,0.00281112,0,11.6281,0,0.239121,50.112241,3981.61,11.65881025,4,72900,316.84,156863.5236,32.49,28.7
0.04684,0,3.41,0,0.489,6.417,66.1,3.0923,2,270,17.8,392.18,8.81,0.002193986,0,11.6281,0,0.239121,41.177889,4369.21,9.56231929,4,72900,316.84,153805.1524,77.6161,22.6
0.03932,0,3.41,0,0.489,6.405,73.9,3.0921,2,270,17.8,393.55,8.2,0.001546062,0,11.6281,0,0.239121,41.024025,5461.21,9.56108241,4,72900,316.84,154881.6025,67.24,22
0.04203,28,15.04,0,0.464,6.442,53.6,3.6659,4,270,18.2,395.01,8.16,0.001766521,784,226.2016,0,0.215296,41.499364,2872.96,13.43882281,16,72900,331.24,156032.9001,66.5856,22.9
0.02875,28,15.04,0,0.464,6.211,28.9,3.6659,4,270,18.2,396.33,6.21,0.000826563,784,226.2016,0,0.215296,38.576521,835.21,13.43882281,16,72900,331.24,157077.4689,38.5641,25
0.04294,28,15.04,0,0.464,6.249,77.3,3.615,4,270,18.2,396.9,10.59,0.001843844,784,226.2016,0,0.215296,39.050001,5975.29,13.068225,16,72900,331.24,157529.61,112.1481,20.6
0.12204,0,2.89,0,0.445,6.625,57.8,3.4952,2,276,18,357.98,6.65,0.014893762,0,8.3521,0,0.198025,43.890625,3340.84,12.21642304,4,76176,324,128149.6804,44.2225,28.4
0.11504,0,2.89,0,0.445,6.163,69.6,3.4952,2,276,18,391.83,11.34,0.013234202,0,8.3521,0,0.198025,37.982569,4844.16,12.21642304,4,76176,324,153530.7489,128.5956,21.4
0.12083,0,2.89,0,0.445,8.069,76,3.4952,2,276,18,396.9,4.21,0.014599889,0,8.3521,0,0.198025,65.108761,5776,12.21642304,4,76176,324,157529.61,17.7241,38.7
0.08187,0,2.89,0,0.445,7.82,36.9,3.4952,2,276,18,393.53,3.57,0.006702697,0,8.3521,0,0.198025,61.1524,1361.61,12.21642304,4,76176,324,154865.8609,12.7449,43.8
0.0686,0,2.89,0,0.445,7.416,62.5,3.4952,2,276,18,396.9,6.19,0.00470596,0,8.3521,0,0.198025,54.997056,3906.25,12.21642304,4,76176,324,157529.61,38.3161,33.2
0.14866,0,8.56,0,0.52,6.727,79.9,2.7778,5,384,20.9,394.76,9.42,0.022099796,0,73.2736,0,0.2704,45.252529,6384.01,7.71617284,25,147456,436.81,155835.4576,88.7364,27.5
0.11432,0,8.56,0,0.52,6.781,71.3,2.8561,5,384,20.9,395.58,7.67,0.013069062,0,73.2736,0,0.2704,45.981961,5083.69,8.15730721,25,147456,436.81,156483.5364,58.8289,26.5
0.22876,0,8.56,0,0.52,6.405,85.4,2.7147,5,384,20.9,70.8,10.63,0.052331138,0,73.2736,0,0.2704,41.024025,7293.16,7.36959609,25,147456,436.81,5012.64,112.9969,18.6
0.21161,0,8.56,0,0.52,6.137,87.4,2.7147,5,384,20.9,394.47,13.44,0.044778792,0,73.2736,0,0.2704,37.662769,7638.76,7.36959609,25,147456,436.81,155606.5809,180.6336,19.3
0.1396,0,8.56,0,0.52,6.167,90,2.421,5,384,20.9,392.69,12.33,0.01948816,0,73.2736,0,0.2704,38.031889,8100,5.861241,25,147456,436.81,154205.4361,152.0289,20.1
0.13262,0,8.56,0,0.52,5.851,96.7,2.1069,5,384,20.9,394.05,16.47,0.017588064,0,73.2736,0,0.2704,34.234201,9350.89,4.43902761,25,147456,436.81,155275.4025,271.2609,19.5
0.1712,0,8.56,0,0.52,5.836,91.9,2.211,5,384,20.9,395.67,18.66,0.02930944,0,73.2736,0,0.2704,34.058896,8445.61,4.888521,25,147456,436.81,156554.7489,348.1956,19.5
0.13117,0,8.56,0,0.52,6.127,85.2,2.1224,5,384,20.9,387.69,14.09,0.017205569,0,73.2736,0,0.2704,37.540129,7259.04,4.50458176,25,147456,436.81,150303.5361,198.5281,20.4
0.12802,0,8.56,0,0.52,6.474,97.1,2.4329,5,384,20.9,395.24,12.27,0.01638912,0,73.2736,0,0.2704,41.912676,9428.41,5.91900241,25,147456,436.81,156214.6576,150.5529,19.8
0.26363,0,8.56,0,0.52,6.229,91.2,2.5451,5,384,20.9,391.23,15.55,0.069500777,0,73.2736,0,0.2704,38.800441,8317.44,6.47753401,25,147456,436.81,153060.9129,241.8025,19.4
0.10793,0,8.56,0,0.52,6.195,54.4,2.7778,5,384,20.9,393.49,13,0.011648885,0,73.2736,0,0.2704,38.378025,2959.36,7.71617284,25,147456,436.81,154834.3801,169,21.7
0.10084,0,10.01,0,0.547,6.715,81.6,2.6775,6,432,17.8,395.59,10.16,0.010168706,0,100.2001,0,0.299209,45.091225,6658.56,7.16900625,36,186624,316.84,156491.4481,103.2256,22.8
0.12329,0,10.01,0,0.547,5.913,92.9,2.3534,6,432,17.8,394.95,16.21,0.015200424,0,100.2001,0,0.299209,34.963569,8630.41,5.53849156,36,186624,316.84,155985.5025,262.7641,18.8
0.22212,0,10.01,0,0.547,6.092,95.4,2.548,6,432,17.8,396.9,17.09,0.049337294,0,100.2001,0,0.299209,37.112464,9101.16,6.492304,36,186624,316.84,157529.61,292.0681,18.7
0.14231,0,10.01,0,0.547,6.254,84.2,2.2565,6,432,17.8,388.74,10.45,0.020252136,0,100.2001,0,0.299209,39.112516,7089.64,5.09179225,36,186624,316.84,151118.7876,109.2025,18.5
0.17134,0,10.01,0,0.547,5.928,88.2,2.4631,6,432,17.8,344.91,15.76,0.029357396,0,100.2001,0,0.299209,35.141184,7779.24,6.06686161,36,186624,316.84,118962.9081,248.3776,18.3
0.13158,0,10.01,0,0.547,6.176,72.5,2.7301,6,432,17.8,393.3,12.04,0.017313296,0,100.2001,0,0.299209,38.142976,5256.25,7.45344601,36,186624,316.84,154684.89,144.9616,21.2
0.15098,0,10.01,0,0.547,6.021,82.6,2.7474,6,432,17.8,394.51,10.3,0.02279496,0,100.2001,0,0.299209,36.252441,6822.76,7.54820676,36,186624,316.84,155638.1401,106.09,19.2
0.13058,0,10.01,0,0.547,5.872,73.1,2.4775,6,432,17.8,338.63,15.37,0.017051136,0,100.2001,0,0.299209,34.480384,5343.61,6.13800625,36,186624,316.84,114670.2769,236.2369,20.4
0.14476,0,10.01,0,0.547,5.731,65.2,2.7592,6,432,17.8,391.5,13.61,0.020955458,0,100.2001,0,0.299209,32.844361,4251.04,7.61318464,36,186624,316.84,153272.25,185.2321,19.3
0.06899,0,25.65,0,0.581,5.87,69.7,2.2577,2,188,19.1,389.15,14.37,0.00475962,0,657.9225,0,0.337561,34.4569,4858.09,5.09720929,4,35344,364.81,151437.7225,206.4969,22
0.07165,0,25.65,0,0.581,6.004,84.1,2.1974,2,188,19.1,377.67,14.27,0.005133723,0,657.9225,0,0.337561,36.048016,7072.81,4.82856676,4,35344,364.81,142634.6289,203.6329,20.3
0.09299,0,25.65,0,0.581,5.961,92.9,2.0869,2,188,19.1,378.09,17.93,0.00864714,0,657.9225,0,0.337561,35.533521,8630.41,4.35515161,4,35344,364.81,142952.0481,321.4849,20.5
0.15038,0,25.65,0,0.581,5.856,97,1.9444,2,188,19.1,370.31,25.41,0.022614144,0,657.9225,0,0.337561,34.292736,9409,3.78069136,4,35344,364.81,137129.4961,645.6681,17.3
0.09849,0,25.65,0,0.581,5.879,95.8,2.0063,2,188,19.1,379.38,17.58,0.00970028,0,657.9225,0,0.337561,34.562641,9177.64,4.02523969,4,35344,364.81,143929.1844,309.0564,18.8
0.16902,0,25.65,0,0.581,5.986,88.4,1.9929,2,188,19.1,385.02,14.81,0.02856776,0,657.9225,0,0.337561,35.832196,7814.56,3.97165041,4,35344,364.81,148240.4004,219.3361,21.4
